topic_id,topic_label,n_docs,ai_sentiment_mean,human_sentiment_mean,admiration_mean,gratitude_mean,love_mean,sadness_mean,grief_mean,nervousness_mean
-1,Outlier/Mixed,12475,0.300561797752809,0.1712707182320442,0.10120332878527188,0.08741945614589267,0.07682683280091158,0.03421363133073221,0.0017383136695575385,0.005096118679696032
0,grok / elon / tried grok,478,0.625,-0.3333333333333333,0.121749628556865,0.054859387233956725,0.06918191984351861,0.027232154973241437,0.0013679198170572502,0.0037959109865205467
1,openai / oai / users,344,-0.30303030303030304,-0.6428571428571429,0.03639297650789918,0.05017015833916873,0.022109557671112355,0.06059096887415657,0.0021876814430999178,0.003891386698363254
2,gpt / mini / custom gpt,285,-0.10344827586206896,1.0,0.04847995343213705,0.039500054980325924,0.021595466367414287,0.029904103829737818,0.0015461698297019068,0.007236487765029571
3,claude / love claude / claude just,280,0.3225806451612903,0.0,0.18172615057306496,0.06783740377815255,0.13927615454449552,0.030941251776468042,0.0015201217436177623,0.003907578847481221
4,model / models / march,274,-0.024390243902439025,-0.25,0.05926101416350261,0.04682961580246673,0.03497413262265164,0.04709649021354042,0.002185632834694498,0.007196661136565597
5,chatgpt / using chatgpt / chatgpt just,259,-0.4375,,0.02126232015789742,0.059842925356292216,0.014798157758521757,0.02358028371607108,0.0011436481768583148,0.0030538944555486957
6,nsfw / explicit / porn,247,-0.17647058823529413,0.0,0.06893733788756767,0.02420809352263782,0.03910052890301143,0.03148178821867935,0.0015538970715703766,0.004235309508113286
7,song / songs / lyrics,215,1.0,1.0,0.24100436038624626,0.14293651516639985,0.21280252478616096,0.022704548054228557,0.0014142852520900454,0.001707687581886624
8,partner / relationships / human,186,0.6521739130434783,-0.14814814814814814,0.0744133825997211,0.04176563312562736,0.06643440297076238,0.052256686205979466,0.0019676174900572128,0.007476412185888064
9,image / images / generator,172,0.2,1.0,0.08276716376408437,0.08522596510044612,0.0412381081413789,0.008359291830856819,0.000697805300237527,0.0016669639822201896
10,deleted,151,,,0.003240536243827483,0.0009573065484596404,0.001191898887446582,0.0031342538731289867,0.0005950149781277268,0.0005228709690087777
11,liriana / dance / wants,132,0.7368421052631579,1.0,0.10964538138509713,0.015323571303959012,0.06402218748928246,0.01586076317978564,0.000876366701325451,0.002569777053092063
12,adult / adult mode / age,127,0.14285714285714285,-1.0,0.011349140892839279,0.0164662844077024,0.010807031059754998,0.03338921123127431,0.0012848731699834145,0.0030828626665074057
13,chats / chat / new chat,127,-0.125,,0.015695375777179683,0.0447154675348429,0.018821542348582517,0.024977786062921465,0.0012512968866407548,0.008171946210782117
14,gemini / personalized / flirt,121,0.0625,,0.0938600677927602,0.06687183512739399,0.08213756622338653,0.010716670401315475,0.0009085887882854666,0.003333444303610701
15,guardrails / guardrail / rails,115,-0.058823529411764705,-0.3333333333333333,0.08631268173719392,0.057266702013262345,0.036090644869356134,0.03139637120361642,0.0014910579914652296,0.004616231347355769
16,downvotes / downvoted / downvote,110,,-1.0,0.03660101921784437,0.1297625610943545,0.048932890486982863,0.030861899530017663,0.0018522816089733335,0.004230253085221524
